category,business_name,number,slug,country,city_province
Coffees,The Café Muzaffarabad,0308 8950226,the-cafe-muzaffarabad,Pakistán,Muzaffarabad
Coffees,University Cafe,0340 8999355,university-cafe,Pakistán,Muzaffarabad
Coffees,Black Rose Cafe,0346 0912574,black-rose-cafe,Pakistán,Muzaffarabad
Coffees,Coffee Bar,0316 5157416,coffee-bar,Pakistán,Muzaffarabad
Coffees,Pizzeous cafe,0309 8909823,pizzeous-cafe,Pakistán,Muzaffarabad
Coffees,Cafe Refresco Keran,0355 6055926,cafe-refresco-keran,Pakistán,Muzaffarabad
Coffees,Anwar Sharif,0317 5766795,anwar-sharif,Pakistán,Muzaffarabad
Coffees,Karakoram Food Shop,0312 2444420,karakoram-food-shop,Pakistán,Muzaffarabad
Coffees,Friends Fast Foods & Pizza,0345 1301253,friends-fast-foods--pizza,Pakistán,Muzaffarabad
Coffees,H&H Foods & Coffee Shop,0334 0041786,hh-foods--coffee-shop,Pakistán,Muzaffarabad
Bakeries,Sehar Baking,0300 4777411,sehar-baking,Pakistán,Muzaffarabad
Bakeries,Hafiz sweets and Bakers,0340 5033311,hafiz-sweets-and-bakers,Pakistán,Muzaffarabad
Bakeries,Al-Jannat Baker's & Super Store,0345 5444643,al-jannat-bakers--super-store,Pakistán,Muzaffarabad
Bakeries,Home Baking,0300 9861305,home-baking,Pakistán,Muzaffarabad
Bakeries,Saffrons Bakers,0300 1412340,saffrons-bakers,Pakistán,Muzaffarabad
Bakeries,Chinar Bakers,0300 9115112,chinar-bakers,Pakistán,Muzaffarabad
Bakeries,Anayat Ullah Sweets & Beakers,01828-457091,anayat-ullah-sweets--beakers,Pakistán,Muzaffarabad
Bakeries,New Baba Bakers,0300 5296544,new-baba-bakers,Pakistán,Muzaffarabad
Bakeries,Ahmad Bakers and Sweets,0346 9617034,ahmad-bakers-and-sweets,Pakistán,Muzaffarabad
Bakeries,Haider sweets & Baker,0311 5542870,haider-sweets--baker,Pakistán,Muzaffarabad
Bakeries,Royal BAKER'S ABRAR CH,0342 7838320,royal-bakers-abrar-ch,Pakistán,Muzaffarabad
Bakeries,Al-Jannat Bakery & Sweets Danna,0349 8102030,al-jannat-bakery--sweets-danna,Pakistán,Muzaffarabad
Bakeries,Bake Away Bakers & Sweets,0344 3869984,bake-away-bakers--sweets,Pakistán,Muzaffarabad
Bakeries,Chaman Bakers sweets and General store,0345 5541280,chaman-bakers-sweets-and-general-store,Pakistán,Muzaffarabad
Bakeries,Afnan Bakers & sweet,0321 1500520,afnan-bakers--sweet,Pakistán,Muzaffarabad
Bakeries,Khawaja Bashir Ahmed Mattu (LATE) Shop,0333 5595744,khawaja-bashir-ahmed-mattu-late-shop,Pakistán,Muzaffarabad
Bakeries,Zaman Bakers,0341 0820700,zaman-bakers,Pakistán,Muzaffarabad
Pizza,Pizza Studio,0305 1047260,pizza-studio,Pakistán,Muzaffarabad
Pizza,The King Pizza,0313 5814331,the-king-pizza,Pakistán,Muzaffarabad
Pizza,Flame On Fast Foods Jadoon Plaza Phase 1,0333 5031988,flame-on-fast-foods-jadoon-plaza-phase-1,Pakistán,Muzaffarabad
Pizza,Saif Bakers & Sweet. Abbottabad,0331 3350080,saif-bakers--sweet-abbottabad,Pakistán,Muzaffarabad
Pizza,The Piza Company,0319 2194434,the-piza-company,Pakistán,Muzaffarabad
Pizza,City pizza and burger tanda,0300 9715473,city-pizza-and-burger-tanda,Pakistán,Muzaffarabad
Pizza,Mr.pizza manshera,0316 2840617,mrpizza-manshera,Pakistán,Muzaffarabad
Pizza,NewYorkers' Pizza.,0303 8703141,newyorkers-pizza,Pakistán,Muzaffarabad
Pizza,Pizza Bite & Savor,0310 5840882,pizza-bite--savor,Pakistán,Muzaffarabad
Pizza,Cheese Bite Pizza,0311 5324424,cheese-bite-pizza,Pakistán,Muzaffarabad
Pizza,Redhotpizza,0317 3335557,redhotpizza,Pakistán,Muzaffarabad
Restaurants,Best Food Restaurant,0344 4211211,best-food-restaurant,Pakistán,Muzaffarabad
Restaurants,Bolan Shinwari Saltish Restaurant,0345 4896554,bolan-shinwari-saltish-restaurant,Pakistán,Muzaffarabad
Restaurants,The Café Muzaffarabad,0308 8950226,the-cafe-muzaffarabad,Pakistán,Muzaffarabad
Restaurants,Butt Sajji Center,0334 5077240,butt-sajji-center,Pakistán,Muzaffarabad
Restaurants,Al Baik Food Park,0336 0555230,al-baik-food-park,Pakistán,Muzaffarabad
Restaurants,Khanabadosh Restaurant,0333 5805060,khanabadosh-restaurant,Pakistán,Muzaffarabad
Restaurants,Berry Crush restaurant,0312 9021719,berry-crush-restaurant,Pakistán,Muzaffarabad
Restaurants,AL Rehmat Hotel,0342 5396206,al-rehmat-hotel,Pakistán,Muzaffarabad
Restaurants,University Cafe,0340 8999355,university-cafe,Pakistán,Muzaffarabad
Restaurants,3 Brothers Fast Food,0340 8881213,3-brothers-fast-food,Pakistán,Muzaffarabad
Restaurants,Meal Deals,0345 6967997,meal-deals,Pakistán,Muzaffarabad
Restaurants,Broadway Restaurant,0301 2812760,broadway-restaurant,Pakistán,Muzaffarabad
Restaurants,Sufra Food Street,0300 5550276,sufra-food-street,Pakistán,Muzaffarabad
Restaurants,WaazWaan Restaurant,0317 0525822,waazwaan-restaurant,Pakistán,Muzaffarabad
Restaurants,Khan'sPizzaKitchen,0336 4111056,khanspizzakitchen,Pakistán,Muzaffarabad
Restaurants,New Shinwari Hotel,0302 8997994,new-shinwari-hotel,Pakistán,Muzaffarabad
Restaurants,Marxist Grill,0309 2111800,marxist-grill,Pakistán,Muzaffarabad
Restaurants,Pizza Studio,0305 1047260,pizza-studio,Pakistán,Muzaffarabad
Restaurants,Punjgran Waterfall (پنجگراں واٹر فال),0311 5573944,punjgran-waterfall-pnjgrn-wttr-fl,Pakistán,Muzaffarabad
Restaurants,Butt Karahi Muzafrabad,0306 1617171,butt-karahi-muzafrabad,Pakistán,Muzaffarabad
Restaurants,Abbasi Restaurant leepa,0343 0512564,abbasi-restaurant-leepa,Pakistán,Muzaffarabad
Restaurants,Big Bite Muzzafarabad,0341 9697555,big-bite-muzzafarabad,Pakistán,Muzaffarabad
Restaurants,Al Ahmed Guest house,0300 5578434,al-ahmed-guest-house,Pakistán,Muzaffarabad
Restaurants,Rodeway Restaurant,0319 0876087,rodeway-restaurant,Pakistán,Muzaffarabad
Restaurants,Pearl Cuisine,0307 0246754,pearl-cuisine,Pakistán,Muzaffarabad
Restaurants,Black Rose Cafe,0346 0912574,black-rose-cafe,Pakistán,Muzaffarabad
Restaurants,Al Najaf Restaurant Muzaffarabad,0307 5121614,al-najaf-restaurant-muzaffarabad,Pakistán,Muzaffarabad
Restaurants,Coffee Bar,0316 5157416,coffee-bar,Pakistán,Muzaffarabad
Restaurants,Aala Niwala Restaurant,0315 5898072,aala-niwala-restaurant,Pakistán,Muzaffarabad
Restaurants,Zam Zam Hotel and Restaurant,0345 9591793,zam-zam-hotel-and-restaurant,Pakistán,Muzaffarabad
Restaurants,کشمیر دیسی ہوٹل,0334 5533379,khshmyr-dysy-hwttl,Pakistán,Muzaffarabad
Restaurants,Kababish Restaurant,0300 4066037,kababish-restaurant,Pakistán,Muzaffarabad
Restaurants,Eastern Kitchen,0346 5615152,eastern-kitchen,Pakistán,Muzaffarabad
Restaurants,Desi Cuisine MZD,0310 9188332,desi-cuisine-mzd,Pakistán,Muzaffarabad
Restaurants,Habibi 2,0346 4074960,habibi-2,Pakistán,Muzaffarabad
Restaurants,Sheikh Kabbab House (شیخ کباب ہاؤس),0349 5569625,sheikh-kabbab-house-shykh-khbb-hws,Pakistán,Muzaffarabad
Restaurants,Kings Way Hotel,0344 1984006,kings-way-hotel,Pakistán,Muzaffarabad
Restaurants,Ajwa Hotel and Restaurant,0348 8945290,ajwa-hotel-and-restaurant,Pakistán,Muzaffarabad
Restaurants,Pizzeous cafe,0309 8909823,pizzeous-cafe,Pakistán,Muzaffarabad
Restaurants,Sumayya's Kitchen,0333 5412861,sumayyas-kitchen,Pakistán,Muzaffarabad
Restaurants,Habibi 4,0309 7863070,habibi-4,Pakistán,Muzaffarabad
Restaurants,SpotLight,0300 5470004,spotlight,Pakistán,Muzaffarabad
Restaurants,Lala haroon chai khana,0355 8013302,lala-haroon-chai-khana,Pakistán,Muzaffarabad
Restaurants,Snack Video,0312 5781553,snack-video,Pakistán,Muzaffarabad
Restaurants,Shah Jee Tikka House,0311 8508398,shah-jee-tikka-house,Pakistán,Muzaffarabad
Restaurants,Al baik Baithak,0336 0555230,al-baik-baithak,Pakistán,Muzaffarabad
Restaurants,Mr. Tea Restaurant,0313 3778899,mr-tea-restaurant,Pakistán,Muzaffarabad
Restaurants,Monal Continental Resturant,0300 0092414,monal-continental-resturant,Pakistán,Muzaffarabad
Restaurants,The King Pizza,0313 5814331,the-king-pizza,Pakistán,Muzaffarabad
Restaurants,Domino's pizza,0341 0187940,dominos-pizza,Pakistán,Muzaffarabad
Restaurants,New Al Haram Resturant.,0334 5582067,new-al-haram-resturant,Pakistán,Muzaffarabad
Restaurants,Cafe Refresco Keran,0355 6055926,cafe-refresco-keran,Pakistán,Muzaffarabad
Restaurants,Khansa Sehar Recipes,0302 5240638,khansa-sehar-recipes,Pakistán,Muzaffarabad
Restaurants,Anwar Sharif,0317 5766795,anwar-sharif,Pakistán,Muzaffarabad
Restaurants,Al-madina Burger house,0300 9857915,al-madina-burger-house,Pakistán,Muzaffarabad
Restaurants,Abbasi resturant,0312 5861200,abbasi-resturant,Pakistán,Muzaffarabad
Restaurants,Fast Food,0320 5026053,fast-food,Pakistán,Muzaffarabad
Restaurants,Second home Hotel & restaurant,0322 9039692,second-home-hotel--restaurant,Pakistán,Muzaffarabad
Restaurants,Damar Kuth,0333 5415559,damar-kuth,Pakistán,Muzaffarabad
Restaurants,KK Eagle Heughts,0314 8089745,kk-eagle-heughts,Pakistán,Muzaffarabad
Restaurants,BissmiAllah Traders,0300 5514416,bissmiallah-traders,Pakistán,Muzaffarabad
Restaurants,Feel Royal Hotel & Restaurant,0341 0705572,feel-royal-hotel--restaurant,Pakistán,Muzaffarabad
Fast food restaurants,Butt Sajji Center,0334 5077240,butt-sajji-center,Pakistán,Muzaffarabad
Fast food restaurants,Meal Deals,0345 6967997,meal-deals,Pakistán,Muzaffarabad
Fast food restaurants,Khan'sPizzaKitchen,0336 4111056,khanspizzakitchen,Pakistán,Muzaffarabad
Fast food restaurants,Marxist Grill,0309 2111800,marxist-grill,Pakistán,Muzaffarabad
Fast food restaurants,Abbasi Restaurant leepa,0343 0512564,abbasi-restaurant-leepa,Pakistán,Muzaffarabad
Fast food restaurants,Habibi 4,0309 7863070,habibi-4,Pakistán,Muzaffarabad
Fast food restaurants,Lala haroon chai khana,0355 8013302,lala-haroon-chai-khana,Pakistán,Muzaffarabad
Fast food restaurants,Al-madina Burger house,0300 9857915,al-madina-burger-house,Pakistán,Muzaffarabad
Fast food restaurants,Moon Refreshment Center,0314 5171422,moon-refreshment-center,Pakistán,Muzaffarabad
Fast food restaurants,Zaiqa Karachi fast food.role paratha and bar BQ,0310 9079465,zaiqa-karachi-fast-foodrole-paratha-and-bar-bq,Pakistán,Muzaffarabad
Supermarkets,Apex The Mall,0304 0002230,apex-the-mall,Pakistán,Muzaffarabad
Supermarkets,Best Price Super Store 2,0312 9039539,best-price-super-store-2,Pakistán,Muzaffarabad
Supermarkets,Banu Saleem Plaza,0334 5072129,banu-saleem-plaza,Pakistán,Muzaffarabad
Supermarkets,Mr. Chicken,0312 5744065,mr-chicken,Pakistán,Muzaffarabad
Supermarkets,Qayyoum General Store,0342 5396415,qayyoum-general-store,Pakistán,Muzaffarabad
Supermarkets,Al-Jamil Super Mart,0345 5167505,al-jamil-super-mart,Pakistán,Muzaffarabad
Supermarkets,Banaras General Store Mera Dadu,0315 1585757,banaras-general-store-mera-dadu,Pakistán,Muzaffarabad
Supermarkets,Sealling,0345 0983697,sealling,Pakistán,Muzaffarabad
Supermarkets,Kazmi General Store,0312 9019221,kazmi-general-store,Pakistán,Muzaffarabad
Supermarkets,Frozone Food Services,0345 5155804,frozone-food-services,Pakistán,Muzaffarabad
Supermarkets,Humza Tuck Shop,0345 5966024,humza-tuck-shop,Pakistán,Muzaffarabad
Supermarkets,Ashraf Awan super store,0344 5014158,ashraf-awan-super-store,Pakistán,Muzaffarabad
Supermarkets,Al Sheikh General Store,0344 9515493,al-sheikh-general-store,Pakistán,Muzaffarabad
Supermarkets,Fiaz Karyana Store,0343 5642146,fiaz-karyana-store,Pakistán,Muzaffarabad
Supermarkets,Unique traders,0300 5513342,unique-traders,Pakistán,Muzaffarabad
Supermarkets,Mughal Karyana & Milk Shop,0345 8072761,mughal-karyana--milk-shop,Pakistán,Muzaffarabad
Supermarkets,Shaheed Jahanzaib Abbais General Store,0345 9568142,shaheed-jahanzaib-abbais-general-store,Pakistán,Muzaffarabad
Supermarkets,Malik Traders,0313 5237190,malik-traders,Pakistán,Muzaffarabad
Supermarkets,Hassan Karyana Store,0312 8060020,hassan-karyana-store,Pakistán,Muzaffarabad
Supermarkets,Local Smart Shop,0342 5140039,local-smart-shop,Pakistán,Muzaffarabad
Supermarkets,Shandar Super Store,0331 5478614,shandar-super-store,Pakistán,Muzaffarabad
Supermarkets,Shell Shop,0344 4511705,shell-shop,Pakistán,Muzaffarabad
Supermarkets,Cash & Carry Mart,0300 9196316,cash--carry-mart,Pakistán,Muzaffarabad
Supermarkets,Sadaat general store,0314 9561602,sadaat-general-store,Pakistán,Muzaffarabad
Supermarkets,KHAN BROTHERS General store,0312 1212164,khan-brothers-general-store,Pakistán,Muzaffarabad
Supermarkets,Ashraf son's,0345 0884772,ashraf-sons,Pakistán,Muzaffarabad
Supermarkets,Khan Grocery General Store,0344 5003764,khan-grocery-general-store,Pakistán,Muzaffarabad
Supermarkets,Neelum karyana And electric store,0312 1591715,neelum-karyana-and-electric-store,Pakistán,Muzaffarabad
Supermarkets,Qureshi Karyana 2,0346 5224258,qureshi-karyana-2,Pakistán,Muzaffarabad
Supermarkets,Ali cash & carry & pharmacy,0347 2161521,ali-cash--carry--pharmacy,Pakistán,Muzaffarabad
Supermarkets,Almughal super store,0343 0593437,almughal-super-store,Pakistán,Muzaffarabad
Supermarkets,Kashi General store,0344 5962821,kashi-general-store,Pakistán,Muzaffarabad
Supermarkets,Irshad General Store,0345 9741643,irshad-general-store,Pakistán,Muzaffarabad
Supermarkets,Afnan Traders Pattika Naseerabad,0321 1500520,afnan-traders-pattika-naseerabad,Pakistán,Muzaffarabad
Supermarkets,Kashmir Super Store( Swati),0346 2269305,kashmir-super-store-swati,Pakistán,Muzaffarabad
Supermarkets,Awan Karyana General Store & Government flour Depot,0348 0596484,awan-karyana-general-store--government-flour-depot,Pakistán,Muzaffarabad
Supermarkets,Arfah super mart,0309 7222206,arfah-super-mart,Pakistán,Muzaffarabad
Supermarkets,Fun Food's,0305 8620517,fun-foods,Pakistán,Muzaffarabad
Supermarkets,Crescent printing press,0348 9489386,crescent-printing-press,Pakistán,Muzaffarabad
Supermarkets,Haris General Store,0342 5223279,haris-general-store,Pakistán,Muzaffarabad
Supermarkets,Utilitie store corporation franchise,0314 5070852,utilitie-store-corporation-franchise,Pakistán,Muzaffarabad
Supermarkets,Milli Super Store,0342 5113074,milli-super-store,Pakistán,Muzaffarabad
Supermarkets,Wasim Traders and General Store,0346 9707214,wasim-traders-and-general-store,Pakistán,Muzaffarabad
Supermarkets,جرال کریانہ سٹور,0341 5628771,jrl-khrynh-sttwr,Pakistán,Muzaffarabad
Supermarkets,Family Sale Mela,0313 9180920,family-sale-mela,Pakistán,Muzaffarabad
Supermarkets,Usama Tea Stores,0300 5460001,usama-tea-stores,Pakistán,Muzaffarabad
Supermarkets,NBP Ehsaas Karyana Riayat- yasir Traders,0312 9009740,nbp-ehsaas-karyana-riayat--yasir-traders,Pakistán,Muzaffarabad
Supermarkets,NBP Ehsaas Karyana Riayat-Bismillah traders and karyana marchant,0302 8954765,nbp-ehsaas-karyana-riayat-bismillah-traders-and-karyana-marchant,Pakistán,Muzaffarabad
Supermarkets,NBP Ehsaas Karyana Riayat-Maqbool traders,0302 2222570,nbp-ehsaas-karyana-riayat-maqbool-traders,Pakistán,Muzaffarabad
Supermarkets,Sehar Baking,0300 4777411,sehar-baking,Pakistán,Muzaffarabad
All food and drink,Apex The Mall,0304 0002230,apex-the-mall,Pakistán,Muzaffarabad
All food and drink,Best Price Super Store 2,0312 9039539,best-price-super-store-2,Pakistán,Muzaffarabad
All food and drink,Sehar Baking,0300 4777411,sehar-baking,Pakistán,Muzaffarabad
All food and drink,Mr. Chicken,0312 5744065,mr-chicken,Pakistán,Muzaffarabad
All food and drink,Qayyoum General Store,0342 5396415,qayyoum-general-store,Pakistán,Muzaffarabad
All food and drink,Balaach General Stores,0342 0017659,balaach-general-stores,Pakistán,Muzaffarabad
All food and drink,Hafiz sweets and Bakers,0340 5033311,hafiz-sweets-and-bakers,Pakistán,Muzaffarabad
All food and drink,Bakarkhani shop,0314 4444557,bakarkhani-shop,Pakistán,Muzaffarabad
All food and drink,Al-Jannat Baker's & Super Store,0345 5444643,al-jannat-bakers--super-store,Pakistán,Muzaffarabad
All food and drink,Home Baking,0300 9861305,home-baking,Pakistán,Muzaffarabad
All food and drink,Al-Jamil Super Mart,0345 5167505,al-jamil-super-mart,Pakistán,Muzaffarabad
All food and drink,Banaras General Store Mera Dadu,0315 1585757,banaras-general-store-mera-dadu,Pakistán,Muzaffarabad
All food and drink,Sealling,0345 0983697,sealling,Pakistán,Muzaffarabad
All food and drink,Mir Traders & General Store,0344 8855635,mir-traders--general-store,Pakistán,Muzaffarabad
All food and drink,Saffrons Bakers,0300 1412340,saffrons-bakers,Pakistán,Muzaffarabad
All food and drink,Kazmi tea and general store,0314 4577473,kazmi-tea-and-general-store,Pakistán,Muzaffarabad
All food and drink,Chinar Bakers,0300 9115112,chinar-bakers,Pakistán,Muzaffarabad
All food and drink,Kazmi General Store,0312 9019221,kazmi-general-store,Pakistán,Muzaffarabad
All food and drink,Frozone Food Services,0345 5155804,frozone-food-services,Pakistán,Muzaffarabad
All food and drink,Humza Tuck Shop,0345 5966024,humza-tuck-shop,Pakistán,Muzaffarabad
All food and drink,Awais traders,0340 5604130,awais-traders,Pakistán,Muzaffarabad
All food and drink,Ashraf Awan super store,0344 5014158,ashraf-awan-super-store,Pakistán,Muzaffarabad
All food and drink,S&K Foods,0343 8937424,sk-foods,Pakistán,Muzaffarabad
All food and drink,Al Sheikh General Store,0344 9515493,al-sheikh-general-store,Pakistán,Muzaffarabad
All food and drink,Friends Dairy Shop,0316 5247264,friends-dairy-shop,Pakistán,Muzaffarabad
All food and drink,Anayat Ullah Sweets & Beakers,01828-457091,anayat-ullah-sweets--beakers,Pakistán,Muzaffarabad
All food and drink,Al Hudda Apple Farm,0343 1192178,al-hudda-apple-farm,Pakistán,Muzaffarabad
All food and drink,Fiaz Karyana Store,0343 5642146,fiaz-karyana-store,Pakistán,Muzaffarabad
All food and drink,Tariq aziz general store,0322 9422821,tariq-aziz-general-store,Pakistán,Muzaffarabad
All food and drink,Unique traders,0300 5513342,unique-traders,Pakistán,Muzaffarabad
All food and drink,Mughal Karyana & Milk Shop,0345 8072761,mughal-karyana--milk-shop,Pakistán,Muzaffarabad
All food and drink,Shahzaman General store,0315 5316400,shahzaman-general-store,Pakistán,Muzaffarabad
All food and drink,Ali Jee General store,0314 5733226,ali-jee-general-store,Pakistán,Muzaffarabad
All food and drink,Awan genral store khetran salehgali,0334 9078730,awan-genral-store-khetran-salehgali,Pakistán,Muzaffarabad
All food and drink,Shaheed Jahanzaib Abbais General Store,0345 9568142,shaheed-jahanzaib-abbais-general-store,Pakistán,Muzaffarabad
All food and drink,Minhas General Store,0341 9475535,minhas-general-store,Pakistán,Muzaffarabad
All food and drink,Malik Traders,0313 5237190,malik-traders,Pakistán,Muzaffarabad
All food and drink,New Baba Bakers,0300 5296544,new-baba-bakers,Pakistán,Muzaffarabad
All food and drink,AQ Meal,0315 8287419,aq-meal,Pakistán,Muzaffarabad
All food and drink,Haider sweets & Baker,0311 5542870,haider-sweets--baker,Pakistán,Muzaffarabad
All food and drink,Ahmad Bakers and Sweets,0346 9617034,ahmad-bakers-and-sweets,Pakistán,Muzaffarabad
All food and drink,Shandar Super Store,0331 5478614,shandar-super-store,Pakistán,Muzaffarabad
All food and drink,Hassan Karyana Store,0312 8060020,hassan-karyana-store,Pakistán,Muzaffarabad
All food and drink,Raja Rafaqat Shopping Centre,0344 5955085,raja-rafaqat-shopping-centre,Pakistán,Muzaffarabad
All food and drink,Local Smart Shop,0342 5140039,local-smart-shop,Pakistán,Muzaffarabad
All food and drink,Sabeel Autos & Power Generators,0322 9426801,sabeel-autos--power-generators,Pakistán,Muzaffarabad
All food and drink,AjwaDryFruits,0301 5077572,ajwadryfruits,Pakistán,Muzaffarabad
All food and drink,Cash & Carry Mart,0300 9196316,cash--carry-mart,Pakistán,Muzaffarabad
All food and drink,Al-Jannat Bakery & Sweets Danna,0349 8102030,al-jannat-bakery--sweets-danna,Pakistán,Muzaffarabad
All food and drink,City Bakers,0345 5400899,city-bakers,Pakistán,Muzaffarabad
All food and drink,Afnan Bakers & sweet,0321 1500520,afnan-bakers--sweet,Pakistán,Muzaffarabad
All food and drink,Sadaat general store,0314 9561602,sadaat-general-store,Pakistán,Muzaffarabad
All food and drink,KHAN BROTHERS General store,0312 1212164,khan-brothers-general-store,Pakistán,Muzaffarabad
All food and drink,Al Rehman General Store,0345 9604242,al-rehman-general-store,Pakistán,Muzaffarabad
All food and drink,Alpha Trading Company,0301 3005049,alpha-trading-company,Pakistán,Muzaffarabad
All food and drink,Emaan General Store,0322 3745195,emaan-general-store,Pakistán,Muzaffarabad
All food and drink,Royal BAKER'S ABRAR CH,0342 7838320,royal-bakers-abrar-ch,Pakistán,Muzaffarabad
All food and drink,B.A Chicken,0345 4124166,ba-chicken,Pakistán,Muzaffarabad
All food and drink,Ashraf son's,0345 0884772,ashraf-sons,Pakistán,Muzaffarabad
All food and drink,Bake Away Bakers & Sweets,0344 3869984,bake-away-bakers--sweets,Pakistán,Muzaffarabad
All food and drink,Al-Awan general store mera puprosa,0346 4385318,al-awan-general-store-mera-puprosa,Pakistán,Muzaffarabad
All food and drink,Abbasi General Store,0344 5046744,abbasi-general-store,Pakistán,Muzaffarabad
Car rental,FALKI TRAVELS and Tourist information center.,0346 5599889,falki-travels-and-tourist-information-center,Pakistán,Muzaffarabad
Car rental,Neelum Motors Rent A Car,0300 5444728,neelum-motors-rent-a-car,Pakistán,Muzaffarabad
Car rental,Muhammadia Motors & Rent A Car,0300 5694609,muhammadia-motors--rent-a-car,Pakistán,Muzaffarabad
Car rental,KTG rent a car,0300 3965425,ktg-rent-a-car,Pakistán,Muzaffarabad
Car rental,Rawalpindi Muzaffarabad Rent A Car,0347 9478939,rawalpindi-muzaffarabad-rent-a-car,Pakistán,Muzaffarabad
Car rental,Closed,0332 1710101,closed,Pakistán,Muzaffarabad
Car rental,Saif Moters And Rent A Car,0312 9008800,saif-moters-and-rent-a-car,Pakistán,Muzaffarabad
Car rental,Friends Forever Rent A Car,0333 6609330,friends-forever-rent-a-car,Pakistán,Muzaffarabad
Car rental,Mir Rent a Car,0345 5098480,mir-rent-a-car,Pakistán,Muzaffarabad
Car rental,Rent a Car in Azad Kashmir,0315 5562635,rent-a-car-in-azad-kashmir,Pakistán,Muzaffarabad
Car rental,101 Rent A Car Neelum Valley,0346 9632178,101-rent-a-car-neelum-valley,Pakistán,Muzaffarabad
Car rental,Kashmir Inn Tourist and Travel and Rent A Car Service,0345 8555822,kashmir-inn-tourist-and-travel-and-rent-a-car-service,Pakistán,Muzaffarabad
Car rental,Car Land,0345 5931271,car-land,Pakistán,Muzaffarabad
Car rental,Ghughar Rent a Car,0301 8170743,ghughar-rent-a-car,Pakistán,Muzaffarabad
Car rental,Awan Tour And Travel,0311 5077737,awan-tour-and-travel,Pakistán,Muzaffarabad
Car rental,Alyan Moter Enterprises,0343 2084830,alyan-moter-enterprises,Pakistán,Muzaffarabad
Car rental,Rent a Car,0343 5189361,rent-a-car,Pakistán,Muzaffarabad
Car rental,Milky Way Tour and Travels,0300 5672325,milky-way-tour-and-travels,Pakistán,Muzaffarabad
Car rental,Heaven Lodges Guest House & Amir Khan Motors,0342 6060085,heaven-lodges-guest-house--amir-khan-motors,Pakistán,Muzaffarabad
Autopartes,Khokhar Autos,0312 9641236,khokhar-autos,Pakistán,Muzaffarabad
Autopartes,Talha Auto's,0314 5733110,talha-autos,Pakistán,Muzaffarabad
Autopartes,Z Auto MZD,0334 5029553,z-auto-mzd,Pakistán,Muzaffarabad
Autopartes,Khan Autos Bike Engineering Workshop,0313 0530896,khan-autos-bike-engineering-workshop,Pakistán,Muzaffarabad
Autopartes,Car Decor,0333 7465430,car-decor,Pakistán,Muzaffarabad
Autopartes,Al Haseeb Autos Muzaffarabad,0300 2725557,al-haseeb-autos-muzaffarabad,Pakistán,Muzaffarabad
Autopartes,Taimoor Autos,0305 5500552,taimoor-autos,Pakistán,Muzaffarabad
Autopartes,Asad Autos & Electration,0344 9565787,asad-autos--electration,Pakistán,Muzaffarabad
Autopartes,Al Rehman Autos,0343 5643462,al-rehman-autos,Pakistán,Muzaffarabad
Autopartes,ALi Autos bike parts & decoration,0303 8070099,ali-autos-bike-parts--decoration,Pakistán,Muzaffarabad
Autopartes,Al siddique Autos,0302 5266130,al-siddique-autos,Pakistán,Muzaffarabad
Autopartes,New Mushtaq Autos,0345 5350147,new-mushtaq-autos,Pakistán,Muzaffarabad
Autopartes,Kashi Bike Autos and Whole sale,0301 0059767,kashi-bike-autos-and-whole-sale,Pakistán,Muzaffarabad
Autopartes,Hashim Battery services,0346 3377771,hashim-battery-services,Pakistán,Muzaffarabad
Autopartes,Mangrall Autos,0333 5396723,mangrall-autos,Pakistán,Muzaffarabad
Autopartes,Ayan Autos,0346 8532977,ayan-autos,Pakistán,Muzaffarabad
Autopartes,Hamza autos,0345 9543520,hamza-autos,Pakistán,Muzaffarabad
Autopartes,IK Batteries,0345 5913699,ik-batteries,Pakistán,Muzaffarabad
Autopartes,Adnan autos muzaffarabad,0341 1081035,adnan-autos-muzaffarabad,Pakistán,Muzaffarabad
Autopartes,Abdulislam auto,0341 1697230,abdulislam-auto,Pakistán,Muzaffarabad
Autopartes,Saeed autos and workshop,0312 9050801,saeed-autos-and-workshop,Pakistán,Muzaffarabad
Autopartes,Kamal shah auto,0301 5003366,kamal-shah-auto,Pakistán,Muzaffarabad
Autopartes,Usmaan Autos,0301 3104516,usmaan-autos,Pakistán,Muzaffarabad
Autopartes,Adeel Autos,0300 5162829,adeel-autos,Pakistán,Muzaffarabad
